node,pr,auth,hub
1,0.0002696645358636504,0.0,0.0026916826106446524
2,0.0003199632907555835,0.0009025696758925699,0.0
3,0.00036140833264204484,3.101595144722424e-95,0.0
4,0.0003852920064844865,0.00014016425034266494,0.0
5,0.00030617389435907765,9.981722018858613e-223,0.0
6,0.0030204242578753954,0.0011249976314946374,0.0
7,0.0006853260313747537,0.00043047589591540365,0.009848764997353458
8,0.0003494066787378477,0.001001465299834654,0.014477549648672589
9,0.00046555538465128406,0.0021736461426224173,0.012232076054940845
10,0.0003891471745978925,0.0005604892152647377,0.0
11,0.0011668822472849516,0.00037535172570792675,0.0
12,0.00029143951903368593,0.000447082310485401,0.0
13,0.0009705666863034438,1.0644221101531577e-94,1.3338754288381868e-93
14,0.00036140833264204484,3.101595144722424e-95,0.0
15,0.001640740786666638,4.6016500761605146e-94,0.0
16,0.0004829948033942447,3.122279537303041e-05,0.0
17,0.0004131580118087246,0.0012761059297756517,0.0
18,0.00028383828767507367,2.683997177130694e-06,0.0
19,0.00030617389435907765,9.981722018858613e-223,0.0
20,0.00033274531747681785,3.4721912628887055e-95,0.0
21,0.0004330300611438614,6.988543520076151e-05,0.0
22,0.0004159244237713905,0.00019130851780366722,0.0
23,0.0002987401624576794,5.433661731042452e-95,0.0
24,0.00028383828767507367,2.683997177130694e-06,0.0
25,0.0006986697591467694,0.0026418170275521284,0.010614796669496102
26,0.0003727037081428131,3.337331086412405e-05,0.0
27,0.0003211841220032318,4.085391751240253e-05,0.0
28,0.0002998432477474541,0.00042250582151024345,0.0
29,0.00028383828767507367,2.683997177130694e-06,0.0
30,0.00028383828767507367,2.683997177130694e-06,0.0
31,0.0005754969962492817,1.347467560830725e-94,0.0
32,0.00030299318158918547,0.0003801035796092152,0.0
33,0.00036428570828340155,1.9983975254924706e-95,0.0
34,0.0005265543187284551,0.00036211594396354344,0.0
35,0.0004829948033942447,3.122279537303041e-05,0.0
36,0.001205830633044876,0.0003093274358335999,0.0035493808891812247
37,0.00029143951903368593,0.000447082310485401,0.0
38,0.0003257363417420215,3.190777047960012e-95,0.0
39,0.00030617389435907765,9.981722018858613e-223,0.0
40,0.0004760666194248745,0.00046508311328348766,0.0
41,0.004492128630108154,0.0015579967712563074,0.004223699490997281
42,0.00048392716580682735,3.2792353737725086e-05,0.0
43,0.010601653744772318,0.004766977693427017,2.3653367373375003e-300
44,0.00035357368506572104,0.0005001670615879714,0.0
45,0.0005123695768319266,1.5504887018195476e-94,0.0
46,0.0002983824229855175,0.00036937747924359327,0.0
47,0.00029103113326510585,0.0005687567055495436,0.0
48,0.0002977505688995226,0.00034745254437705677,0.0
49,0.0004829948033942447,3.122279537303041e-05,0.0
50,0.0003891471745978925,0.0005604892152647377,0.014382924764763298
51,0.0018156528115559698,0.0,0.0
52,0.000305350788198249,0.00045804785593987394,0.0
53,0.0003028076114520537,5.790921384023275e-06,0.0
54,0.0003770723160226946,3.3338088451328955e-05,0.0
55,0.00030009107165251194,0.0005323526904598347,0.0
56,0.0009395041714703698,0.0001181280326545154,0.0
57,0.002581208371639056,0.0005218479322457645,0.0
58,0.00035470200023214176,4.3421197798414004e-05,0.0
59,0.0003891471745978925,0.0005604892152647377,0.009341523850161985
60,0.0003727037081428131,3.337331086412405e-05,0.0
61,0.0003985687417688186,6.810174023230343e-95,0.0
62,0.005193568367650199,0.030178299306633318,0.009019280367746216
63,0.0004760666194248745,0.00046508311328348766,0.0007879269852285812
64,0.0004673206332597105,4.581092751669008e-95,0.0
65,0.0004829948033942447,3.122279537303041e-05,0.0
66,0.0009395041714703698,0.0001181280326545154,0.0
67,0.00039398227124548795,2.8671135791629486e-95,0.0
68,0.006322105585652464,0.0030420277016928814,0.0040457460729243855
69,0.0004517136234432275,0.0017339039378074606,0.0
70,0.00030617389435907765,9.981722018858613e-223,0.0
71,0.0006674257253906003,7.727542391254152e-240,0.0
72,0.00032133626333403787,1.1047773327012992e-94,0.0
73,0.00047034400639815987,0.00027405572075732485,0.0
74,0.00035183789067561386,0.0012026100793154006,0.0
75,0.00032312353923513953,6.131953178133922e-07,0.0
76,0.00039255190419840505,2.117006245843738e-95,0.0
77,0.00039398227124548795,2.8671135791629486e-95,0.0
78,0.005181575698093235,0.03003174255171822,0.010018191760840307
79,0.0008779407766567039,0.0022705569798272644,0.0152488392746473
80,0.0010056431468572025,0.0007376271398459682,0.0
81,0.0004754349256039431,0.002022673790459544,0.012314962258945086
82,0.0004829948033942447,3.122279537303041e-05,0.0
83,0.0002922606367400089,5.6141115959705403e-95,0.0
84,0.002097306615216028,5.89219245655035e-94,1.3156360860976932e-93
85,0.0005624238707942021,0.0004148013043469436,0.0
86,0.0003350511082772868,0.0008747285028164829,0.0
87,0.0005743641093055858,5.21992572562342e-07,0.0
88,0.0006954029014154096,0.00070873872376641,0.0
89,0.00033148803923114807,4.060293655748604e-05,0.0
90,0.0008067861588500784,3.379136852702656e-95,0.0
91,0.00038713676373143145,0.001152016536410008,0.015291453223795654
92,0.0005265543187284551,0.00036211594396354344,0.0
93,0.0003727037081428131,3.337331086412405e-05,0.0
94,0.00031335874430019815,3.410186016282512e-05,0.0
95,0.007491540196120113,0.0034426520625891743,0.0038376192515784447
96,0.0003211841220032318,4.085391751240253e-05,0.0
97,0.0004141974794212438,0.00019221888303890724,0.0
98,0.0011531127849438718,8.472839565507942e-06,0.0010709223407753944
99,0.0007005249426408289,0.000774639896463479,0.0
100,0.00032312353923513953,6.131953178133922e-07,0.0
101,0.0003377491302051587,0.001043855443952202,0.0
102,0.00031337451473170566,0.00037859347731683513,8.353200184897975e-05
103,0.000916427189413231,6.717953964916791e-95,0.0
104,0.0003009735077415042,0.0003735782173710867,0.0
105,0.00043802372514554984,3.747044712785347e-05,0.0
106,0.0006895495867309063,0.0007249412761236395,0.0009176691485185002
107,0.0008067861588500784,3.379136852702656e-95,0.0
108,0.00032735658270826684,3.4259518038911625e-05,0.0
109,0.0003481201917110269,0.0005512725122986012,0.0
110,0.00029478951644446066,0.00043932814339680333,0.0
111,0.00036140833264204484,3.101595144722424e-95,0.0
112,0.0009395041714703698,0.0001181280326545154,0.0
113,0.0006674257253906003,7.727542391254152e-240,0.0
114,0.00029032194410731627,5.68052703134824e-05,0.0
115,0.0005265543187284551,0.00036211594396354344,0.0
116,0.00048392716580682735,3.2792353737725086e-05,0.0
117,0.001897519474037076,0.0002471308869952182,0.0010648609414169547
118,0.00032133626333403787,1.1047773327012992e-94,0.0
119,0.00029478951644446066,0.00043932814339680333,0.0
120,0.0006071293978097366,1.1280213759692623e-94,0.0
121,0.0003009735077415042,0.0003735782173710867,0.0
122,0.0003727037081428131,3.337331086412405e-05,0.0
123,0.00048392716580682735,3.2792353737725086e-05,0.0
124,0.00038541770185793704,3.545201034584391e-95,0.0
125,0.00031023325024879915,0.00039850422057163495,0.0
126,0.0002977505688995226,0.00034745254437705677,0.0
127,0.00035592579928111047,0.0004021602543046764,0.0
128,0.0004829948033942447,3.122279537303041e-05,0.0
129,0.00034651759032010895,0.00038438439870085845,0.0
130,0.00028383828767507367,2.683997177130694e-06,0.0
131,0.0008067861588500784,3.379136852702656e-95,9.225524043048413e-94
132,0.00035288848270451263,3.3288796836699594e-05,0.0
133,0.0005896267973712785,0.0007265352669344415,0.0
134,0.002404070753851738,0.013474973229369802,0.010117415795231805
135,0.0022371542422983622,0.0006795799018658189,0.004130185242646432
136,0.0004059975162505153,3.931285819308651e-05,0.0
137,0.00044810194310293755,0.002555155921654005,0.0
138,0.0005743641093055858,5.21992572562342e-07,0.0
139,0.0005802806455255598,0.00462273105893208,0.0
140,0.0003891471745978925,0.0005604892152647377,0.014312703806916639
141,0.0007296870021233014,0.0003882467804023794,0.0
142,0.0073638783811129,0.00333711223089639,0.0
143,0.0007351476174074733,0.0008056494596695032,0.0
144,0.0002922606367400089,5.6141115959705403e-95,0.0
145,0.0002922606367400089,5.6141115959705403e-95,0.0
