node,pr,auth,hub
0,0.0006668553675218531,0.0006861274119372359,0.0006861274119372357
1,0.00021722468394874258,0.00013865196651119394,0.00013865196651119386
2,0.0002543599515144036,0.00017593022659877463,0.00017593022659877458
3,0.0012137732113931975,0.0012711889265731643,0.001271188926573164
4,0.0004599287575356337,0.0004524317246400679,0.0004524317246400678
5,0.0006146026436174512,0.0006601061872700481,0.0006601061872700479
6,0.0005491920521328272,0.0005263930912866966,0.0005263930912866965
7,0.0006164690002485811,0.0006089407708998163,0.0006089407708998161
8,0.0012168027447158896,0.0012576432884124824,0.001257643288412482
9,0.0013593248052223225,0.0014297965923129523,0.0014297965923129523
10,0.0006808533965916653,0.0007017117531249038,0.0007017117531249036
11,0.001070387060093624,0.0011207978782286677,0.0011207978782286675
12,0.0006272707314154412,0.0006611957198203549,0.0006611957198203546
13,0.000645897386151763,0.0006940460839235846,0.0006940460839235844
14,0.0007816862988840116,0.000830345533835871,0.0008303455338358709
15,0.0003786010774332675,0.0003565514005412613,0.00035655140054126116
16,0.000275351283268212,0.00023280782938013873,0.00023280782938013865
17,0.0012326460311121198,0.0013156806724349112,0.001315680672434911
18,0.0003256652219712994,0.00029028371193223144,0.00029028371193223133
19,0.0006240265787711518,0.000649981124754173,0.0006499811247541729
20,0.00027444640936984094,0.0002184158044882906,0.00021841580448829056
21,0.0010233153028522482,0.0011250684398120346,0.0011250684398120346
22,0.00023692167651372226,0.0001609674657584906,0.00016096746575849056
23,0.0011664796601442912,0.0012070873743357793,0.0012070873743357795
24,0.0003134838560839615,0.00025813661250240287,0.0002581366125024028
25,0.0004691107171976073,0.0004755282564621214,0.00047552825646212136
26,0.00092284904040628,0.0010003504353347603,0.00100035043533476
27,0.00030782664741625936,0.00023051418663182907,0.00023051418663182905
28,0.0012281754846191117,0.001301984833164798,0.001301984833164798
29,0.0014052902071105102,0.0014878899864482094,0.0014878899864482092
30,0.00014604516609938335,1.0745585282323544e-05,1.0745585282323544e-05
31,0.00028386763928272033,0.00020695463387353154,0.0002069546338735315
33,0.0013903054354864437,0.0014810329178459609,0.0014810329178459604
34,0.0007254973042051621,0.0007209772812363141,0.0007209772812363139
35,0.0007683694929209299,0.0008136173745883126,0.0008136173745883126
36,0.0016797228114097797,0.001710193589329769,0.0017101935893297686
38,0.002009736778153504,0.002047880042516284,0.002047880042516284
39,0.0008797066353027821,0.0009152290808419691,0.0009152290808419689
40,0.0011334072792911955,0.0011509355794840164,0.001150935579484016
41,0.00029417082823709735,0.0002542534639902188,0.0002542534639902187
42,0.0009282479119730544,0.0009739063997757816,0.0009739063997757818
43,0.0011689915655870603,0.0012445506134688338,0.0012445506134688338
44,0.00032972408711537084,0.00028806185628574646,0.00028806185628574635
45,0.0006584055677312445,0.000672498557305397,0.0006724985573053968
46,0.00021406015104153008,0.00014257464609980944,0.0001425746460998094
